,text,Date,label
0,linkedin workforce report january february strongest consecutive months hiring since august september,03/08/2017,1
1,international women day join honoring critical role women america around world,03/08/2017,0
2,tremendous respect women many roles serve vital fabric society economy,03/08/2017,0
3,feel sure friend come along new great health care program knows obamacare disaster,03/08/2017,0
4,let fake news tell big infighting trump admin getting along great getting major things done,03/07/2017,1
5,working new system competition drug industry pricing american people come way,03/07/2017,1
6,worry getting rid state lines promote competition phase healthcare rollout,03/07/2017,1
7,eight years russia ran president obama got stronger stronger picked crimea added missiles weak,03/07/2017,1
8,wonderful new healthcare bill review negotiation obamacare complete total disaster imploding fast,03/07/2017,1
9,vicious prisoners released obama administration gitmo returned battlefield another terrible decision,03/07/2017,1
10,thank billion investment creating manufacturing construction jobs usa,03/07/2017,0
11,buy american hire american principles core agenda jobs jobs jobs thank,03/07/2017,0
12,incredible spirit optimism sweeping country right bringing back jobs,03/06/2017,0
13,construction manufacturing jobs u gulf coast region billion investment already winning america,03/06/2017,0
14,buy american hire american principals core agenda jobs jobs jobs thank,03/06/2017,0
15,president trump congratulates exxon mobil job creating investment program,03/06/2017,0
16,thank great rallies across country tremendous support make america great,03/05/2017,0
17,secretly said russian president tell vladimir election flexibility,03/05/2017,1
18,true dnc would allow fbi access check server equipment learning hacked possible,03/05/2017,1
19,arnold schwarzenegger voluntarily leaving apprentice fired bad pathetic ratings sad end great show,03/04/2017,1
20,low president obama gone tapp phones sacred election process nixon watergate bad sick guy,03/04/2017,1
21,bet good lawyer could make great case fact president obama tapping phones october prior election,03/04/2017,1
22,legal sitting president wire tapping race president prior election turned court earlier new low,03/04/2017,1
23,russian ambassador met jeff sessions visited obama white house times times last year alone,03/04/2017,1
24,terrible found obama wires tapped trump tower victory nothing found mccarthyism,03/04/2017,1
25,first meeting jeff sessions russian amb set obama administration education program ambs,03/04/2017,1
26,make america great,03/03/2017,0
27,hereby demand second investigation schumer pelosi close ties russia lying,03/03/2017,0
28,hearby demand second investigation schumer pelosi close ties russia lying,03/03/2017,0
29,must fix education system kids make america great wonderful day saint andrew orlando,03/03/2017,0
30,hear demand second investigation schumer pelosi close ties russia lying,03/03/2017,0
31,start immediate investigation ties russia putin total hypocrite,03/03/2017,0
32,weekly addressjoin,03/03/2017,0
33,pathetic dems still approved full cabinet,03/03/2017,1
34,nick adams new book green card warrior must read merit based system way go canada australia,03/03/2017,1
35,illegal leaks classified information total witch hunt,03/03/2017,1
36,win democrats overplaying hand lost election lost grip reality real story,03/03/2017,1
37,intentional whole narrative way saving face democrats losing election everyone thought supposed,03/03/2017,1
38,jeff sessions honest man say anything wrong could stated response accurately clearly,03/03/2017,1
39,since november th election day stock market posted trillion gains consumer confidence year high jobs,03/02/2017,1
40,thank,03/01/2017,1
41,jointsession maga,03/01/2017,0
42,join live p jointaddress,03/01/2017,0
43,interviewed enjoy,02/28/2017,1
44,gop viewed favorably dems trump era per nbc wsj poll via,02/27/2017,0
45,great meeting ceos leading u health insurance companies provide great healthcare american peo,02/27/2017,0
46,big dinner governors tonight white house much discussed including healthcare,02/26/2017,1
47,russia talk fake news put dems played media order mask big election defeat illegal leaks,02/26/2017,1
48,first time failing take ad bad one help save failing reputation try reporting accurately fairly,02/26/2017,1
49,race dnc chairman course totally rigged bernie guy like bernie never chance clinton demanded perez,02/26/2017,1
