source,text,created_at,is_retweet,id_str
Twitter for iPhone,Just signed one of the most important and largest Trade Deals in U.S. and World History. The United States Mexico and Canada worked so well together in crafting this great document. The terrible NAFTA will soon be gone. The USMCA will be fantastic for all!,11-30-2018 14:45:18,false,1068516326010830849
Twitter for iPhone,#USMCA???????????? https://t.co/7CYsYBYbd1,11-30-2018 13:08:27,false,1068491952696557575
Twitter for iPhone,....Lightly looked at doing a building somewhere in Russia. Put up zero money zero guarantees and didn’t do the project. Witch Hunt!,11-30-2018 09:59:03,false,1068444287380025344
Twitter for iPhone,Oh I get it! I am a very good developer happily living my life when I see our Country going in the wrong direction (to put it mildly). Against all odds I decide to run for President &amp; continue to run my business-very legal &amp; very cool talked about it on the campaign trail...,11-30-2018 09:52:04,false,1068442531887632384
Twitter for iPhone,Arrived in Argentina with a very busy two days planned. Important meetings scheduled throughout. Our great Country is extremely well represented. Will be very productive!,11-30-2018 03:31:14,false,1068346689784696833
Twitter for iPhone,Alan Dershowitz: “These are not crimes. He (Mueller) has no authority to be a roving Commissioner. I don’t see any evidence of crimes.”  This is an illegal Hoax that should be ended immediately. Mueller refuses to look at the real crimes on the other side. Where is the IG REPORT?,11-30-2018 03:04:34,false,1068339979250675712
Twitter for iPhone,“This demonstrates the Robert Mueller and his partisans have no evidence not a whiff of collusion between Trump and the Russians. Russian project legal. Trump Tower meeting (son Don) perfectly legal. He wasn’t involved with hacking.”     Gregg Jarrett.  A total Witch Hunt!,11-30-2018 02:50:59,false,1068336562729938945
Twitter for iPhone,Just landed in Argentina with @FLOTUS Melania! #G20Summit https://t.co/Zg15gmPazF,11-30-2018 01:41:50,false,1068319160093032448
Twitter for iPhone,As RNC Chair Ronna McDaniel oversaw history defying gains in the Senate and unprecedented fundraising strength. I have asked her to serve another term for my 2020 re-elect because there is no one better for the job!,11-30-2018 00:04:23,false,1068294634160287744
Twitter for iPhone,We have been working hard on this - and it’s only going to get better! https://t.co/MtGjmhMO8B,11-29-2018 22:47:59,false,1068275406141149184
